FILENAME,SEC_CHECKBOX,SEC_SUBJECT,CHECKBOX,TEXT_BOX_PAIR,MARK,HANDWRITTEN,SIGNATURE
"D:/PareIT/Combined\17918_PRADO ( P. I. ) , IRENA -MR merged_4a1b9d76-9063-4d92-9abc-32029e5d963e.pdf\5-5",,,,,,,
"D:/PareIT/Combined\17918_PRADO ( P. I. ) , IRENA -MR merged_4a1b9d76-9063-4d92-9abc-32029e5d963e.pdf\6-6",,,,,,,
"D:/PareIT/Combined\17919_Marshall, Tiffany Initial report 12-11-18_012eb958-b4bc-4fa7-a123-8363f33cc42e.pdf\1-6",,,,,,,1
D:/PareIT/Combined\17924_brainMRI_carranza_129ad5c7-dbff-4256-b508-546f6766ccfe.pdf\1-2,,,,,,,
D:/PareIT/Combined\17924_MRI report_41244db0-dc31-4086-81b4-950bcf48a41c.pdf\1-1,,,,,,,
D:/PareIT/Combined\17924_xray_b32b4c5d-60c3-47ed-a4e7-3d9df7adf01b.pdf\1-1,,,,,,,
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\1-4,,,,,,,1
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\10-12,,,,,,,
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\13-18,4,4,22,22,,,1
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\5-5,,,,,,,
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\6-6,,,,,,,
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\7-7,,,,,,,
D:/PareIT/Combined\17926_J bIraheta prior  records_6c71d341-e636-4676-9473-f49d85e23898.pdf\8-9,,,,,,,
D:/PareIT/Combined\17926_J Iraheta MRI BRAIN_34681208-04b5-403a-8190-409ebdc3d503.pdf\1-2,,,,,,,
D:/PareIT/Combined\17928_10-26-2018 report_0c571a08-ae46-4642-9a12-b372f390849b.pdf\1-2,,,,,,,
"D:/PareIT/Combined\17929_Ayala, Eric MRI referral_0c4b686a-c818-4930-bee3-4111cacbbfac.pdf\1-1",3,2,14,17,,4,1
D:/PareIT/Combined\17930_11-20-2018 report_0ade7edc-7145-4e07-baa3-fdfa6642e163.pdf\1-2,,,,,,,
"D:/PareIT/Combined\17932_REFERRAL - ORTHO - 11.21.18 - Arrayga Raygoza, Amelia Alejandra_e46a5a45-caba-4f53-b08c-37ada29f1f32.pdf\1-1",1,,9,9,,3,1
D:/PareIT/Combined\17932_REPORT - MRI - -Wrist - 11.12.18 - Arrayga Raygoza Amelia Alejandra_b5d5818a-38de-498b-8bb7-352a5b949b39.pdf\1-2,,,,,,,
D:/PareIT/Combined\17932_REPORT - MRI - Lumbar-- 11.12.18 - Arrayga Raygoza Amelia Alejandra_01b022d5-dfeb-46a2-8d14-bea5a4febecf.pdf\1-3,,,,,,,
D:/PareIT/Combined\17938_MRI REPORT - LUMBAR Nyree_dfd40e5f-0c0d-4bed-801d-d00d8e6d5633.pdf\1-2,,,,,,,
D:/PareIT/Combined\17938_MRI REPORT CERVICAL- Nyree_55080b2a-d982-4433-82ef-18301c793624.pdf\1-3,,,,,,,
D:/PareIT/Combined\17941_Document (30)_b79fad52-29c1-4a02-80d2-2e2469f2b52c.pdf\1-1,2,2,5,5,,15,1
D:/PareIT/Combined\17941_Esther_96d29f76-4881-4390-81c7-bf98e62aeac0.pdf\1-1,,,,,,,
D:/PareIT/Combined\17941_report_29a4337d-8ba1-44ba-bdb7-44b6d8c9ea42.pdf\1-7,,,,,,,
D:/PareIT/Combined\17957_11-13-2018 report_881c8529-6a5f-49cf-a92d-3a41753dab0b.pdf\1-2,,,,,,,
D:/PareIT/Combined\17958_11-8-2018 report_c44d2bd3-b8fe-4b2f-9ef0-dc27d069fd88.pdf\1-2,,,,,,,
D:/PareIT/Combined\17959_luis_7dc6707d-e9ad-4b62-9e8f-c36f2cb4c62e.pdf\1-1,,,,,,,
D:/PareIT/Combined\17959_Physical Therapy _8474f6d7-91a3-41c3-b13c-42fd1398a5ca.pdf\1-1,1,,25,25,,5,1
D:/PareIT/Combined\17959_reportt_f0fbcae7-621a-4dfd-917f-130786ac861e.pdf\1-5,,,,,,,
D:/PareIT/Combined\17960_MRI REPORT - cervical- Kennedy_ff83b829-1909-4010-9107-746141b2dbcb.pdf\1-2,,,,,,,
D:/PareIT/Combined\17960_MRI REPORT - LEFT KNEE- Kennedy_61b9b77e-5c3c-4452-ad7e-69072082ad44.pdf\1-2,,,,,,,
D:/PareIT/Combined\17960_ORTHO REFERRAL- Kennedy_00cce892-b50b-46d0-8cc7-ec608a8fa1e0.pdf\1-1,1,1,8,8,1,2,1
D:/PareIT/Combined\17961_11-8-2018 report_79eeb4cf-4b66-4577-b7af-1a1af79d4bf7.pdf\1-2,,,,,,,
D:/PareIT/Combined\17965_Chandru Dargani - EMG refferal_4e6386e9-9b6d-480f-83d2-1c992784d9a3.pdf\1-1,,,3,3,,8,1
D:/PareIT/Combined\17966_Practice Fusion_03ab9c02-0374-4a1c-9178-351790e24a74.pdf\1-2,,,,,,,
"D:/PareIT/Combined\17967_KINZIE, DARRELL 120718MVPICON-F_2fd4229a-74d1-4f8d-9c85-0502c93f847f.pdf\1-7",,,,,,,1
D:/PareIT/Combined\17967_Neuro Report_d816ac10-f759-4486-a13f-840a15ddde5f.pdf\1-10,,,,,,,
D:/PareIT/Combined\17968_6-29-2018 report_12e8de12-0aa6-4ff6-ab91-36d54e86ed62.pdf\1-2,,,,,,,
D:/PareIT/Combined\17970_CT Scan Lumbar_bcf5cbfd-c458-41b6-9c47-dfec5ac6f7bb.pdf\1-2,,,,,,,
D:/PareIT/Combined\17970_CT Scan Lumbar_bcf5cbfd-c458-41b6-9c47-dfec5ac6f7bb.pdf\3-4,,,,,,,
D:/PareIT/Combined\17970_larry1_b98bb4f7-1bbb-4758-a712-eb424bf4fdf3.pdf\1-1,,,,,,,
D:/PareIT/Combined\17970_reportt_d8ea727a-aefb-4644-9116-839081e3b6a5.pdf\1-10,,,,,,,
D:/PareIT/Combined\17972_010819 Marcello Palmieri_TherapyRx_1110d544-c234-48aa-91c6-f785371854aa.pdf\1-2,4,4,44,44,,7,1
D:/PareIT/Combined\17973_Segment 001 of +14159621408-0110-133413-394_702dfda4-f2bd-4f43-92d9-41cbcf045d8a.pdf\1-1,,,,,,,1
D:/PareIT/Combined\17973_Segment 001 of +14159621408-0110-133413-394_99ced239-0fb0-4e2a-9c33-e5818ee526b0.pdf\1-4,,,,,,,1
D:/PareIT/Combined\17974_gloria_ccb27cb7-1bf8-4044-b463-63924cb0cea4.pdf\1-1,,,,,,,
D:/PareIT/Combined\17974_MRI_825c290e-b47f-4a6d-b31a-7749c0a85036.pdf\1-1,,,,,,,
D:/PareIT/Combined\17974_report1_7751382c-e257-4958-be48-6c36e4594d34.pdf\1-9,,,,,,,
D:/PareIT/Combined\17974_reportt_8227fc4a-eaf9-44c1-b8f3-8b6c4e1c9819.pdf\1-7,,,,,,,
D:/PareIT/Combined\17978_+19165500678-1218-115157-153_7d372551-3cb6-4883-970b-3d3388229a90.pdf\1-1,,,,,,,1
D:/PareIT/Combined\17978_Pages from Marshall Medical Center - Records_6e6e64e2-4257-4de0-8d9e-bd8f90d7bb61.pdf\1-39,,,,,,,
D:/PareIT/Combined\17979_s trajano pt orders_488663c4-53b0-45b2-a053-fd0d67c33ec2.pdf\1-1,2,1,13,13,,7,1
D:/PareIT/Combined\17984_SKMBT_50118120710590_fc98130e-9195-4087-b04c-6a5a1d782089.pdf\1-2,,,,,,,
D:/PareIT/Combined\17984_SKMBT_50118120711000_88c58984-2763-42a4-9706-7b80d435592f.pdf\1-2,,,,,,,
D:/PareIT/Combined\17984_SKMBT_50118120711001_eb4b0b53-be1c-4dd3-83bd-23a4cacafef8.pdf\1-4,,,,,,,
D:/PareIT/Combined\17988_Rosario Padilla 20181219_0fcb25ba-64ee-45ea-bf7f-0d0cd46e7cd5.pdf\1-4,,,,,,,1
D:/PareIT/Combined\17989_consuelo- ER record_046df077-c008-472c-b659-d357ec1ef0bd.pdf\11-13,,,,,,,2
D:/PareIT/Combined\17989_consuelo- ER record_046df077-c008-472c-b659-d357ec1ef0bd.pdf\2-4,,,,,,,2
D:/PareIT/Combined\17989_consuelo- ER record_046df077-c008-472c-b659-d357ec1ef0bd.pdf\5-7,,,,,,,2
D:/PareIT/Combined\17989_consuelo- hosptal records_b8301fae-76fa-4773-8eaa-f16bc4d64ae8.pdf\22-24,17,17,296,290,,,
D:/PareIT/Combined\17989_consuelo-records_2d418492-ec98-4d1d-b36f-29710754d20d.pdf\1-12,,,,,,,
D:/PareIT/Combined\17989_consuelo-records_2d418492-ec98-4d1d-b36f-29710754d20d.pdf\13-26,,,,,,,
D:/PareIT/Combined\17990_A.V- ENT_f8812842-d823-4bf9-9ebf-977f02279ece.pdf\1-1,,,3,3,,6,1
D:/PareIT/Combined\17990_A.V-XRAY_b1ffd1fc-e6d6-439f-adf1-9bd5014f867d.pdf\1-1,,,,,,7,1
D:/PareIT/Combined\17990_Angel Victoriano - Good Samaritan - CT Reports_e7b41ebd-9c84-4b71-bfd1-a727bfd59529.pdf\1-1,,,,,,,
"D:/PareIT/Combined\17990_Victoriano, Angel initial report 12-13-18_13b9ae74-a46d-4b9f-b872-e7f76b61ec66.pdf\1-6",,,,,,,1
D:/PareIT/Combined\17991_Mohamad - MRI prescription L-s_6cf3320e-5165-4652-bc8c-6cc8c65c0afb.pdf\1-1,,,,,,6,1
"D:/PareIT/Combined\17991_Mohamad, Mohamad_52bdbc90-f104-4314-abe7-96cdd7c80605.pdf\1-1",,,,,,6,1
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\1-1,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\10-12,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\18-32,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\2-2,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\3-5,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\33-36,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\37-42,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\43-45,,,,,,,1
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\6-6,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\7-7,,,,,,,
D:/PareIT/Combined\17991_Mohamed Mohamed Medical Records_e804a99a-fd98-4e71-84cc-c865fd241229.pdf\8-9,,,,,,,
D:/PareIT/Combined\17991_Mohamed-inital_52e63a75-e2ef-462d-9780-2df50e999285.pdf\1-7,,,,,,,1
D:/PareIT/Combined\17992_Referral Slip_0df9dcb1-db93-4685-b5a1-7b5b46e2a9fc.pdf\1-1,1,1,19,19,,4,1
D:/PareIT/Combined\17992_TERESA MRI RX_6e7b72b8-928f-495b-bd7b-be17682f66fa.pdf\1-1,1,1,8,7,,7,1
D:/PareIT/Combined\17992_TERESA REPORT_0756b365-0b61-4c4f-a09c-d52a0824c851.pdf\1-2,,,,,,,
D:/PareIT/Combined\17997_JAZMINEKENDALL_63ced08f-b682-4b8e-959a-8e0008bc69c5.pdf\1-6,,,,,,,
D:/PareIT/Combined\17997_reportt_666a7ff4-4ff1-402d-80de-6fa12397ff01.pdf\1-8,,,,,,,
D:/PareIT/Combined\17998_2019-1-9 MRI_a2575951-63ed-4772-8d5a-15d3b9f374ba.PDF\1-1,,,2,2,,6,1
D:/PareIT/Combined\17th St. Ortho 12.17.2018 Maria.pdf\1-1,1,,5,5,,7,
D:/PareIT/Combined\17th St. Ortho 12.17.2018 Maria.pdf\2-4,,,,,,,2
D:/PareIT/Combined\18 - United Medical Imaging Reports.pdf,,,,,,,
D:/PareIT/Combined\18- Coast Spine Records.pdf\10-11,,,,,,,
D:/PareIT/Combined\18- Coast Spine Records.pdf\2-8,,,,,,,1
D:/PareIT/Combined\18- Coast Spine Records.pdf\9-9,1,1,,,,7,1
D:/PareIT/Combined\18-04-19 Starpoint surgical center medical records and bills.pdf\5-5,,,,,,4,1
D:/PareIT/Combined\18-04-19 Starpoint surgical center medical records and bills.pdf\9-9,,,,,,4,1
D:/PareIT/Combined\18-10-23 Office Visit.pdf\1-2,,,,,,,
D:/PareIT/Combined\18-10-23 Office Visit.pdf\1-2,,,,,,,
D:/PareIT/Combined\18-3-8 Samimi SOAP.pdf\1-2,,,,,,,
"D:/PareIT/Combined\18-4-9 Charles Neal, MD (anesthesiologist records and bills).pdf\3-3",,,,,,4,1
D:/PareIT/Combined\18-4-9 Operative Report - Left Shoulder (Dr. Samimi).pdf\1-2,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\10-10,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\11-12,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\13-13,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\14-14,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\15-16,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\17-18,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\19-20,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\21-22,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\23-24,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\25-26,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\27-28,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\29-30,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\3-5,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\31-32,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\33-34,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\6-7,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\8-8,,,,,,,
D:/PareIT/Combined\18-5-21 - 18-6-27 Weststar Physical Therapy - Records and Bills.pdf\9-9,,,,,,,
D:/PareIT/Combined\18-5-3 Samimi SOAP.pdf\1-2,,,,,,,
D:/PareIT/Combined\18-5-3 Samimi SOAP.pdf\1-2,,,,,,,
D:/PareIT/Combined\18-6-7 Samimi SOAP.pdf\1-2,,,,,,,
D:/PareIT/Combined\18-7-12 SOAP.pdf\1-2,,,,,,,
D:/PareIT/Combined\18. 01-24-19 The Spine & Orthopedic Center.pdf\1-3,,,,,,3,2
D:/PareIT/Combined\18. 01-24-19 The Spine & Orthopedic Center.pdf\4-4,,,,,,,
D:/PareIT/Combined\18. 02-08-19 The Spine & Orthopedic Center.pdf\1-3,,,,,,3,2
D:/PareIT/Combined\18. Access Medical Imaging.pdf\4-4,,,,,,,
D:/PareIT/Combined\18. Access Medical Imaging.pdf\5-6,,,,,,,
D:/PareIT/Combined\18. Access Medical Imaging.pdf\7-8,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\100-101,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\103-104,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\107-107,,,,,,,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\13-19,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\20-29,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\30-30,5,5,,,,47,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\31-31,,,,,,19,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\32-32,,,,,,19,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\33-33,,,,,,19,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\34-34,,,,,,22,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\35-35,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\36-36,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\37-37,,,,,,19,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\38-38,,,,,,19,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\39-39,,,46,34,,14,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\40-40,,,,,,20,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\41-41,,,,,,17,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\42-42,,,46,34,,15,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\43-44,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\45-47,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\48-51,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\5-12,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\52-58,,,,,,,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\59-60,,,,,,,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\61-62,,,,,,,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\63-63,10,10,73,71,,15,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\64-64,8,8,,,,6,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\65-65,10,10,73,71,,11,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\66-66,9,9,,,,8,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\67-67,10,10,73,71,,14,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\68-69,20,20,73,71,,18,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\70-70,9,9,,,,8,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\71-73,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\74-76,,,,,,,1
D:/PareIT/Combined\18. Plt's Medical Records.pdf\78-81,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\82-85,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\86-87,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\88-89,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\90-91,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\92-93,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\94-95,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\96-97,,,,,,,
D:/PareIT/Combined\18. Plt's Medical Records.pdf\98-99,,,,,,,
D:/PareIT/Combined\18.06.08 Report.pdf\1-3,,,,,,,
D:/PareIT/Combined\18.10.30 Report North Valley Ortho.pdf,,,,,,,1
D:/PareIT/Combined\18.11.27 Report North Valley Ortho.pdf\1-2,,,,,,,1
D:/PareIT/Combined\18.12.16 Operative Report Sherman Way Surgical.pdf\1-2,,,,,,,1
D:/PareIT/Combined\18.12.28 Report North Valley Ortho.pdf\1-1,,,,,,,
D:/PareIT/Combined\18.3.23 Report Center for ORtho.pdf\1-8,,,,,,,1
D:/PareIT/Combined\18.4.19 MRI Cervical Precise Imaging.pdf\1-1,,,,,,,
D:/PareIT/Combined\18.4.19 MRI R Knee Precise Imaging.pdf\1-1,,,,,,,
D:/PareIT/Combined\18.4.19 MRI R Knee Precise Imaging.pdf\2-2,,,,,,,
D:/PareIT/Combined\18.4.24 Report Center for Ortho.pdf\1-2,,,,,,,1
D:/PareIT/Combined\18.7.10 Report North Valley Ortho 2.pdf\1-2,,,,,,,1
D:/PareIT/Combined\18.7.10 Report North Valley Ortho.pdf\1-2,,,,,,,1
D:/PareIT/Combined\18000_Advance Health Center Chiro- Becker 10.16.2018_e10f7712-908c-4ed0-bf81-370ee797cdbf.pdf\1-2,,,,,,,1
D:/PareIT/Combined\18001_MRI Lumbar- Saavedra_f8298bb9-e137-4a15-9ca5-bb9663963ec1.pdf\1-2,,,,,,,
D:/PareIT/Combined\18004_Erika gomez garcia hosp rec_52891a01-d5b1-4756-8c3e-10c9d115eb79.pdf\1-8,,,,,,,
D:/PareIT/Combined\18004_Erika gomez garcia mri_eae5f520-2779-4e2c-8d62-b402440e3f0c.pdf\1-2,,,,,,,
D:/PareIT/Combined\18008_+12135429000-0108-145530-490_9d7f0ce0-7c7e-40af-8f9a-92b2e50e6cab.pdf\1-2,,,,,,,
D:/PareIT/Combined\18008_adrid_6f558f00-dfd9-4212-86ab-dc7df2db4a53.pdf\1-1,,,,,,,
D:/PareIT/Combined\18008_melinda_e8fd0cec-c7a3-4f11-8155-adce7e246683.pdf\1-1,,,,,,,
D:/PareIT/Combined\18008_report_7e4cf5a8-4c6e-4fda-9ad5-81a90454b749.pdf\1-8,,,,,,,
D:/PareIT/Combined\18010_Medical Report - Anthony Bledin DC DOS 6-3-2017 (2)_2e98f0f2-0b63-46b2-97d4-8ac6fec719b8.pdf\1-3,,,,,,,
D:/PareIT/Combined\18014_Pedro Venegas 12.17.18_a3d92486-0345-40bb-98f4-39724903f534.pdf\1-5,,,,,,,1
D:/PareIT/Combined\18015_Federico Venegas LIEN 12.17.18_a14d071d-2fb0-4976-af02-c0ca696849a5.pdf\1-5,,,,,,,1
D:/PareIT/Combined\18018_1.7.19 Check off list_acbd456e-87aa-4a08-a688-911cd54e4ca6.pdf\1-1,,,,,1,4,
D:/PareIT/Combined\18018_1.7.19 Check off list_acbd456e-87aa-4a08-a688-911cd54e4ca6.pdf\2-2,1,,,,3,8,
D:/PareIT/Combined\18018_1.7.19 Check off list_acbd456e-87aa-4a08-a688-911cd54e4ca6.pdf\3-3,2,2,6,6,,3,
D:/PareIT/Combined\18018_BRMG HICF + MRI 09.02.18_08147c75-9fec-47bf-b3be-947288e779ab.pdf\1-1,,,,,,,
D:/PareIT/Combined\18018_BRMG HICF + Report 08.29.18_c4d9bf83-831f-460b-aa68-47a75faf33f5.pdf\2-2,,,,,,,
D:/PareIT/Combined\18018_BRMG HICF + Report 08.29.18_c4d9bf83-831f-460b-aa68-47a75faf33f5.pdf\3-3,,,,,,,
D:/PareIT/Combined\18018_BRMG MRI Lumbar Spine_7a16da99-f299-4cea-83d5-8822e71dc632.pdf\1-1,,,,,,,
D:/PareIT/Combined\18018_BRMG MRI Right Knee_f760e589-d72d-400f-9b7d-dbc7ee82b4c3.pdf\1-1,,,,,1,,
D:/PareIT/Combined\18018_Chand Medical Reports_658f1daa-b228-4b95-b6e8-9bdd6be4171f.pdf\2-5,,,,,,,1
D:/PareIT/Combined\18018_Dr. Wilker - Medical Report_5ef4502a-ced9-4bc3-b09b-70746bcbbef7.pdf\2-5,,,,,,,1
D:/PareIT/Combined\18018_Dr. Wilker_91646e31-f2df-45d9-94a9-9440d4e561d1.pdf\2-4,,,,,,,1
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\11-11,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\12-13,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\14-15,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\16-16,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\17-18,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\19-20,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\21-23,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\24-27,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\28-28,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\29-30,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\31-31,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\32-32,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\33-33,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\34-35,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\36-38,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\39-42,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\4-6,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\43-43,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\44-44,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\45-46,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\47-49,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\50-53,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\56-56,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\57-57,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\58-58,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\59-59,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\60-60,,,,,,,
D:/PareIT/Combined\18018_fax00708801_44a16778-92f1-44f0-95a6-4ae92c0bbbee.pdf\61-61,,,,,,,
